 Count,Member,Party,Column1
334,"Cox, Geoffrey",Conservative,#0087DC
332,"Letwin, Oliver",Conservative,#0087DC
332,"Loughton, Tim",Conservative,#0087DC
332,"Onn, Melanie",Labour,#DC241f
332,"Grant, Bill",Conservative,#0087DC
331,"Goodwill, Robert",Conservative,#0087DC
331,"Lucas, Caroline",Green Party,#6AB023
331,"Jardine, Christine",Liberal Democrat,#FAA61A
329,"Gyimah, Sam",Conservative,#0087DC
329,"Double, Steve",Conservative,#0087DC
327,"Carmichael, Alistair",Liberal Democrat,#FAA61A
326,"Snell, Gareth",Labour (Co-op),#CC0000
325,"Jenkin, Bernard",Conservative,#0087DC
324,"Betts, Clive",Labour,#DC241f
324,"Sandbach, Antoinette",Conservative,#0087DC
323,"Bruce, Fiona",Conservative,#0087DC
322,"Lamb, Norman",Liberal Democrat,#FAA61A
322,"Main, Anne",Conservative,#0087DC
321,"Creasy, Stella",Labour (Co-op),#CC0000
320,"Zeichner, Daniel",Labour,#DC241f
319,"Sherriff, Paula",Labour,#DC241f
319,"McMahon, Jim",Labour (Co-op),#CC0000
319,"Hughes, Eddie",Conservative,#0087DC
318,"Milton, Anne",Conservative,#0087DC
318,"McInnes, Liz",Labour,#DC241f
316,"Zahawi, Nadhim",Conservative,#0087DC
315,"Opperman, Guy",Conservative,#0087DC
313,"Gillan, Cheryl",Conservative,#0087DC
313,"Wollaston, Sarah",Change UK   The Independent Group,#cccccc
313,"Moran, Layla",Liberal Democrat,#FAA61A
312,"Huddleston, Nigel",Conservative,#0087DC
311,"Edwards, Jonathan",Plaid Cymru,#008142
310,"Abrahams, Debbie",Labour,#DC241f
309,"Griffiths, Andrew",Conservative,#0087DC
307,"Brock, Deidre",Scottish National Party,#FEF987
304,"Philp, Chris",Conservative,#0087DC
303,"Brennan, Kevin",Labour,#DC241f
301,"Cunningham, Alex",Labour,#DC241f
300,"Vickers, Martin",Conservative,#0087DC
300,"Argar, Edward",Conservative,#0087DC
300,"Sobel, Alex",Labour (Co-op),#CC0000
299,"Quince, Will",Conservative,#0087DC
299,"McDonald, Stuart C.",Scottish National Party,#FEF987
297,"Russell-Moyle, Lloyd",Labour (Co-op),#CC0000
295,"Twist, Liz",Labour,#DC241f
293,"Owen, Albert",Labour,#DC241f
293,"Tomlinson, Michael",Conservative,#0087DC
292,"Dunne, Philip",Conservative,#0087DC
291,"Elphicke, Charlie",Conservative,#0087DC
290,"Francois, Mark",Conservative,#0087DC
289,"Field, Frank",Independent,#DDDDDD
288,"Campbell, Gregory",Democratic Unionist Party,#D46A4C
288,"Onwurah, Chi",Labour,#DC241f
285,"Greenwood, Lilian",Labour,#DC241f
285,"Saville Roberts, Liz",Plaid Cymru,#008142
285,"Sheppard, Tommy",Scottish National Party,#FEF987
283,"Hodgson, Sharon",Labour,#DC241f
282,"Andrew, Stuart",Conservative,#0087DC
282,"Duncan Smith, Iain",Conservative,#0087DC
282,"Gaffney, Hugh",Labour,#DC241f
281,"Harper, Mark",Conservative,#0087DC
281,"Penning, Mike",Conservative,#0087DC
281,"Timms, Stephen",Labour,#DC241f
280,"Docherty-Hughes, Martin",Scottish National Party,#FEF987
280,"Burghart, Alex",Conservative,#0087DC
279,"Kinnock, Stephen",Labour,#DC241f
279,"Charalambous, Bambos",Labour,#DC241f
278,"Hardy, Emma",Labour,#DC241f
275,"Berry, Jake",Conservative,#0087DC
275,"Smith, Nick",Labour,#DC241f
274,"Knight, Julian",Conservative,#0087DC
274,"Lamont, John",Conservative,#0087DC
272,"Abbott, Diane",Labour,#DC241f
