 Count,Member,Party,Column1
37,"Hendrick, Mark",Labour (Co-op),#CC0000
36,"Grant, Helen",Conservative,#0087DC
29,"Beckett, Margaret",Labour,#DC241f
29,"Spencer, Mark",Conservative,#0087DC
28,"Mahmood, Shabana",Labour,#DC241f
27,"Jones, Ruth",Labour,#DC241f
26,"Campbell, Ronnie",Labour,#DC241f
23,"Burns, Conor",Conservative,#0087DC
22,"Brown, Nicholas",Labour,#DC241f
19,"Godsiff, Roger",Labour,#DC241f
18,"Cruddas, Jon",Labour,#DC241f
18,"Pincher, Christopher",Conservative,#0087DC
17,"Coffey, Ann",Change UK   The Independent Group,#cccccc
15,"Simpson, Keith",Conservative,#0087DC
13,"Campbell, Alan",Labour,#DC241f
11,"Hollern, Kate",Labour,#DC241f
9,"Lavery, Ian",Labour,#DC241f
7,"O'Mara, Jared",Independent,#DDDDDD
5,"Whittaker, Craig",Conservative,#0087DC
3,"Dodds, Jane",Liberal Democrat,#FAA61A
1,"Forbes, Lisa",Labour,#DC241f
